date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:43	86/86	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2007:01:08%20GMT	https://stimsherpa.com/robots.txt		(from )
10:49:43	29659/29659	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2007:04:13%20GMT	https://stimsherpa.com/	C:/arenabet88/ARENABET88/stimsherpa.com/index.html	(from )
10:49:45	284584/284584	---M--	200	added ('OK')	text/javascript	etag:%222af4af216080b72b%22	https://cdn.ampproject.org/v0.js	C:/arenabet88/ARENABET88/cdn.ampproject.org/v0.js	(from https://stimsherpa.com/)
10:49:46	38737/38737	---M--	200	added ('OK')	text/javascript	etag:%22aef697926ee2e511%22	https://cdn.ampproject.org/v0/amp-carousel-0.1.js	C:/arenabet88/ARENABET88/cdn.ampproject.org/v0/amp-carousel-0.1.js	(from https://stimsherpa.com/)
10:49:48	31363/31363	---M--	200	added ('OK')	text/javascript	etag:%2205633f8f4ff783cc%22	https://cdn.ampproject.org/v0/amp-sidebar-0.1.js	C:/arenabet88/ARENABET88/cdn.ampproject.org/v0/amp-sidebar-0.1.js	(from https://stimsherpa.com/)
10:49:50	25732/25732	---M--	200	added ('OK')	text/javascript	etag:%22258d5bb6d1000463%22	https://cdn.ampproject.org/v0/amp-iframe-0.1.js	C:/arenabet88/ARENABET88/cdn.ampproject.org/v0/amp-iframe-0.1.js	(from https://stimsherpa.com/)
10:49:50	26664/26664	---M--	200	added ('OK')	text/javascript	etag:%2215936e0e8c094b2a%22	https://cdn.ampproject.org/v0/amp-lightbox-0.1.js	C:/arenabet88/ARENABET88/cdn.ampproject.org/v0/amp-lightbox-0.1.js	(from https://stimsherpa.com/)
10:49:50	1793/1793	---M--	200	added ('OK')	image/png	etag:%22701-63eb6208-104941;;;%22	https://stimsherpa.com/Assets/Images/bola.png	C:/arenabet88/ARENABET88/stimsherpa.com/Assets/Images/bola.png	(from https://stimsherpa.com/)
10:49:52	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	C:/arenabet88/ARENABET88/use.fontawesome.com/releases/v5.8.1/css/all.css	(from https://stimsherpa.com/)
10:49:52	53793/53793	---M--	200	added ('OK')	image/png	etag:%22d221-63ebc328-104940;;;%22	https://stimsherpa.com/Assets/Images/maxbet.png	C:/arenabet88/ARENABET88/stimsherpa.com/Assets/Images/maxbet.png	(from https://stimsherpa.com/)
10:49:52	103854/103854	---M--	200	added ('OK')	image/jpeg	etag:%22195ae-656f3bc2-10493f;;;%22	https://stimsherpa.com/Assets/Images/judibola.jpg	C:/arenabet88/ARENABET88/stimsherpa.com/Assets/Images/judibola.jpg	(from https://stimsherpa.com/)
10:49:53	91867/91867	---M--	200	added ('OK')	image/jpeg	etag:%22166db-63ebc3f4-104942;;;%22	https://stimsherpa.com/Assets/Images/judibolamaxbet.jpg	C:/arenabet88/ARENABET88/stimsherpa.com/Assets/Images/judibolamaxbet.jpg	(from https://stimsherpa.com/)
